Author,Date,Region,Sentence,ModernSentence_1Shot,ModernSentence_3Shot,ModernSentence_5Shot,ModernSentence_7Shot,ModernSentence_NLLB
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora che il naveleggio si fu preso e messo in alto mare per andare diritto nel mezzo a questo passaggio pericoloso, l'aria divenne nuvolosa e piovesca.","Allora, mentre il mio navio si imbarcò e fu messo in alto mare per andare dritto per mezzo a questo passaggio pericoloso, l'aria divenne nuvolosa e iniziò a piovere.","Allora che il mio naviglio si fu catturato e messo in alto mare per andare dritto a mezzo questo passaggio pericoloso, l'aria divenne nuvolosa e pioveggiante.","Allora, mentre il mio navicello si mise in viaggio e fu messo in alto mare per andare dritto in mezzo a questo pericoloso passaggio, l'aria divenne nuvolosa e iniziò a piovere.","Quando la nave è stata messa in mare per andare dritta in mezzo a questo pericoloso passaggio, l'aria è diventata nuvolosa e piovosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salii sul margine del fosso, e sul muro, se da lassù si potessero difendere, o in qualche modo passare oltre e scampare.","Mi salii sul muretto del fossato e sul recinto, se da lassù si potessero difendere, o in qualche modo superare e scampare.","Salì in cima all'argine del fosso e in cima allo steccato, se da lì si potesse difendersi o, in qualche modo, passare oltre e scampare.","Salì su l'argine del fosso e su lo steccato, se da lassù si potesse difendere, o in qualche modo passare oltre e salvarsi.","Salgono sul bordo della fossa e sulla recinzione, se da lassù possono difendersi, o in qualche modo superare e fuggire."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio della saggezza è più alto. Perciò che, passata la grandezza della università, quella medesima semplice forma vede nella sottile vista.","Ma l'intelligenza supera l'occhio. Pertanto, sebbene la grandezza dell'università sia passata, la stessa semplice forma è vista nella sottile visione.","Ma l'occhio dell'intelligenza è più alto. Pertanto, una volta superata la grandezza dell'università, la stessa semplice forma vede nella sottile vista.","Ma l'occhio della ragione è più alto. Pertanto, passata la grandezza dell'università, quella stessa semplice forma vede nella sottile visione.",Ma l'occhio dell'intelligenza è più alto.
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è membro nobile del corpo dell'uomo, dunque la salutazione è parte nobile della lettera, ciò di più, in essa si alluma tutta la lettera come l'occhio alluma l'uomo.","Se l'occhio è membro nobile del corpo dell'uomo, dunque la saluto è parte nobile della lettera, e inoltre illumina tutta la lettera come l'occhio illumina l'uomo.","E se l'occhio è membro nobilissimo del corpo dell'uomo, quindi la saluto è parte nobilissima della lettera, così pure illuminano tutta la lettera come l'occhio illumina l'uomo.","E se l'occhio è un membro nobile del corpo dell'uomo, dunque la salutazione è un elemento nobile della lettera, che altresì illumina tutta la lettera come l'occhio illumina l'uomo.","E se l'occhio è un membro nobile del corpo dell'uomo, allora il saluto è una nobile parte della pistola, altrettanto illumina l'intera lettera come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, i quali erano nati di quegli di Lacedemone e fatto da loro la nobile città dei Greci.","I Tarentini, che erano discendenti di quelli di Sparta e nati nella loro nobilissima città greca.","I Tarentini, i quali erano nati da quelli di Sparta e erano stati fondata da loro dalla loro nobilissima città dei Greci.","Tarentini, i quali erano nati da quelli di Lacedomone e erano stati fondata da loro quella nobilissima città dei Greci.","Tarentini, che erano nati da quelli di Lacedemonia e fatti dalla loro nobile città de Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulecois, era un uomo ricco e nobile: Orgentore fu chiamato per nome.","Ulecois, un uomo ricco e nobile: Orgentore fu chiamato per nome.","Ulecois, ebbe un uomo ricco e nobile: Orgentore fu chiamato per nome.","Ulecois, un uomo ricco e nobile: fu chiamato Orgentore per nome.","Ulecois, un uomo ricco e nobile, Orgentore venne chiamato per nome."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però che, se è nobile essere amato e alta la virtù di essere nemico, al tempo stesso non è meno lodevole sapere avere misericordia.","però che, se è nobilissima la cosa di abattere un nemico e alta è la sua virtù, nonn'è meno laudabile sapere avere pietà.","Ma però, se la nobiltà e l'alto valore del nemico sono cose meritevoli di lode, è meno degno di lode il sapere avere misericordia.","Ma poiché essere nemico di qualcuno è una cosa nobile e alta, non è meno laudabile sapere fare compassione per lui.","Eppure, se la cosa nobile e alta è abbattere il nemico, non è meno lodevole saper avere pietà."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandrino, fu questo il figlio e il genero di Filippo di Macedonia, gentile giovane di Fasi, che, rimanendo in un luogo stretto senza guardia, morì.","Alessandri, fu così ucciso il figlio e il genero di Filippo di Macedonia, un giovane gentile di Fasi, che si trovava in un luogo stretto senza alcuna difesa.","Alessandri, questo è il figlio e il genero, di Faustina, giovane gentile di Macedonia, che, trovandosi in un luogo stretto senza alcuna guardia, fu ucciso.","Alessandri, questo è il padre e il figlio, di Fausania, giovane gentile di Macedonia, che fu ucciso in un luogo stretto senza guardia.","Alessandro, che è il genero è il figlio, da Phausonia, gentile giovane della Macedonia, essendo in un posto stretto sanza guardia, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuno è ricco e gentile, ma si lagna che vorrebbe avere una moglie diversa da quella che ha.","Chiunque sia ricco e gentile, lamenta di voler avere un'altra moglie, invece di quella che ha.","Chi è ricco e gentile, ma si lamenta di voler avere una moglie diversa da quella che ha.","Chiunque sia ricco e gentile, lamenta di voler avere un'altra moglie, invece di quella che ha già.","Qualcuno è ricco e gentile, ma si lamenta di voler avere una moglie diversa da quella che ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, essendogli mostrato in figura il popolo gentile, gli fu detto: uccidi, e mangia","Pietro, essendo stato presentato in figura al popolo Gentile, gli fu detto: uccidi e mangia.","Pietro, avendo avuto mostrato alla gente il suo popolo, così gli fu detto: uccidi e mangia.","Pietro, essendo stato mostrato in figura al popolo gentile, gli fu detto: uccidi, e mangia.","Quando Pietro vide un esempio di gentili, gli fu detto: ""Sì, uccidi e mangia""."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Chiesi a lui che lo liberasse da quella obbligazione, in che egli l'aveva lasciato vincolato. L'uomo gentile acconsentì e mi liberò, e mi diede la carta.","Chiesi al signore che mi liberasse da quell'obbligazione, di cui ero stato a lungo obbligato. Il gentile uomo acconsentì, e mi liberò, e mi diede carta.","Prego, che lo liberassi da quella obbligazione, in quanto egli l'aveva lasciato vincolato. Il gentile uomo accennò con la testa, e lo liberò, e gli diede carta.","Chiesi al gentile uomo che mi liberasse da quell'obbligazione, a cui l'uomo mi aveva costretto, lasciandomi in tale stato di obbligo. L'omone gentile assentì e mi liberò, e mi diede la carta.","Gli chiesi di liberarlo da questo obbligo, in cui l'aveva lasciato costretto. L'uomo gentile decise di non andare, e lo liberò, scrivendoci una lettera."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il popolo Gentile congelato dal freddo del peccato, il quale popolo tenne sotto il giogo della sua tirannia.","L'oro verrà dall'Aquilone. Che cosa possiamo fare noi, se non il popolo gentile congelato dal freddo del peccato, il quale popolo tenne sotto il giogo della tirannia della sua cupidigia.","L'oro verrà dal Nord, il vento dell'Aquilone. Che figuriamo noi rispetto all'Aquilone, se non il popolo gentile congelato dal freddo del peccato, il popolo che ha tenuto sotto il giogo della tirannia della sua cupidigia.","L'oro verrà dall'Aquilone. Che figuriamoci noi rispetto all'Aquilone, se non il popolo gentile congelato dal freddo del peccato, il quale popolo teneva sotto il giogo della tirannia sua.","L'oro verrà da Aquilone, che rappresenta noi per Aquilone, se non il popolo gentile congelato dal freddo del peccato, che ha tenuto sotto il giogo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","sia tra me e te: con noi non puoi più durare a lungo, perché non lo tollero e non lo lascerò.","Sia tra me e te: con noi ormai non puoi più rimanere a lungo, perché io non soffrirò di questo e non lo lascerò.","Sia tra me e te: con noi non potrai più trattenerti a lungo, perché io non lo tollererò e non lo lascerò.","Sia tra me e te: con noi non potrai più lungamente rimanere, poiché io non lo tollererò e non lo lascerò.","che sia tra me e te. Non potrai più rimanere con noi, e io non lo lascerò e non lo lascerò."
